"","Intensity","concentration"
"1",5625,0
"2",13498,0.351
"3",5698,0
"4",13590,0.351
"5",5484,0.0167
"6",19138,0.602
"7",6900,0.0167
"8",17469,0.602
"9",6796,0.0376
"10",17682,0.925
"11",6812,0.0376
"12",17981,0.925
"13",21955,1.35
"14",7660,0.0645
"15",19950,1.35
"16",8307,0.1
"17",19275,2.86
"18",8679,0.1
"19",18616,2.86
"20",8792,0.151
"21",23054,5.87
"22",9561,0.151
"23",22870,5.87
"24",6491,0.0645
"25",12171,0.226
"26",21930,39
"27",12393,0.226
"28",25239,39
"29",8768,0
"30",14948,0.351
"31",21869,39
"32",7923,0
"33",12662,0.351
"34",6500,0.0167
"35",16217,0.602
"36",7562,0.0376
"37",17225,0.925
"38",6458,0.0645
"39",17624,1.35
"40",8566,0.1
"41",17987,2.86
"42",8356,0.151
"43",21216,5.87
"44",11130,0.226
"45",17771,39
