"","free_Ca","tauPhi","tauM"
"1",0,1.583,1.934
"2",0.0167,1.646,2.006
"3",0.0376,1.698,2.072
"4",0.0645,1.786,2.195
"5",0.1,1.931,2.351
"6",0.151,2.141,2.581
"7",0.226,2.44,2.831
"8",0.351,2.76,3.066
"9",0.0645,1.774,2.178
"10",39,3.274,3.338
"11",5.87,3.27,3.333
"12",2.86,3.274,3.339
"13",1.35,3.242,3.322
"14",0.925,3.202,3.309
"15",0.602,3.065,3.242
"16",0,1.593,1.952
"17",0.0167,1.648,1.999
"18",0.0376,1.699,2.065
"19",0.1,1.922,2.336
"20",0.151,2.132,2.572
"21",0.226,2.441,2.835
"22",39,3.277,3.342
"23",5.87,3.275,3.341
"24",2.86,3.275,3.338
"25",1.35,3.249,3.326
"26",0.925,3.194,3.307
"27",0.602,3.072,3.244
"28",0.351,2.745,3.057
"29",0,1.584,1.942
"30",0.0167,1.642,1.997
"31",0.0376,1.699,2.065
"32",0.0645,1.787,2.193
"33",0.1,1.931,2.359
"34",0.151,2.153,2.598
"35",0.226,2.436,2.832
"36",39,3.278,3.342
"37",5.87,3.274,3.339
"38",2.86,3.276,3.34
"39",1.35,3.238,3.321
"40",0.925,3.183,3.301
"41",0.602,3.06,3.238
"42",0.351,2.73,3.044
