"","free_Ca","tauPhi","tauM"
"1",0,1.369875,1.711875
"2",0,1.398625,1.87825
"3",0,1.4355,1.83425
"4",0.011988889,1.399375,1.752
"5",0.011988889,1.415375,1.9075
"6",0.011988889,1.442142857,1.828571429
"7",0.026975,1.440875,1.8155
"8",0.026975,1.490166667,1.989166667
"9",0.026975,1.485375,1.882
"10",0.046242857,1.5255,1.924
"11",0.046242857,1.566875,2.094
"12",0.046242857,1.508142857,1.930857143
"13",0.071933333,1.644375,2.0695
"14",0.071933333,1.74425,2.309875
"15",0.071933333,1.722,2.195333333
"16",0.1079,1.908875,2.48225
"17",0.1079,1.83875,2.3945
"18",0.1079,1.9014,2.389
"19",0.16185,2.136625,2.667
"20",0.16185,2.062625,2.602
"21",0.16185,2.087375,2.55725
"22",0.251766667,2.32025,2.814
"23",0.251766667,2.26875,2.7655
"24",0.251766667,2.36875,2.77425
"25",0.4316,2.546,2.944375
"26",0.4316,2.5345,2.932
"27",0.4316,2.54125,2.873375
"28",0.9711,2.6905,3.004125
"29",0.9711,2.691333333,3.017
"30",0.9711,2.737625,2.9575
"31",39,2.7795,3.05325
"32",39,2.787833333,3.045333333
"33",39,2.761,2.956142857
