"","pH","Intensity"
"1",2.75,-49.1666666666666
"2",6.83,15331.8333333333
"3",2.75,29.8333333333334
"4",6.83,18291.8333333333
"5",2.75,32.8333333333334
"6",6.83,17928.8333333333
"7",3.27,-67.1666666666666
"8",7.39,16534.8333333333
"9",3.27,41.8333333333334
"10",7.39,19283.8333333333
"11",3.27,11.8333333333334
"12",7.39,19103.8333333333
"13",3.76,1674.83333333333
"14",7.83,15615.8333333333
"15",3.76,1885.83333333333
"16",7.83,17824.8333333333
"17",3.76,1949.83333333333
"18",7.83,17510.8333333333
"19",4.25,1873.83333333333
"20",8.33,16717.8333333333
"21",4.25,2288.83333333333
"22",8.33,18941.8333333333
"23",4.25,2327.83333333333
"24",8.33,19384.8333333333
"25",4.79,2730.83333333333
"26",8.83,16488.8333333333
"27",4.79,3163.83333333333
"28",8.83,17162.8333333333
"29",4.79,3322.83333333333
"30",8.83,18502.8333333333
"31",5.36,4518.83333333333
"32",9.43,17101.8333333333
"33",5.36,5309.83333333333
"34",9.43,18371.8333333333
"35",5.36,5443.83333333333
"36",9.43,19280.8333333333
"37",5.75,7250.83333333333
"38",9.83,15471.8333333333
"39",5.75,7897.83333333333
"40",9.83,17419.8333333333
"41",5.75,8141.83333333333
"42",9.83,17419.8333333333
"43",6.32,15435.8333333333
"44",6.32,17684.8333333333
"45",6.32,17519.8333333333
