"","pH","Intensity"
"1",2.83,-93.6666666666666
"2",6.86,4111.33333333333
"3",2.83,22.3333333333334
"4",6.86,5259.33333333333
"5",2.83,71.3333333333334
"6",6.86,5479.33333333333
"7",3.31,-75.6666666666666
"8",7.41,4835.33333333333
"9",3.31,-8.66666666666663
"10",7.41,5314.33333333333
"11",3.31,1.33333333333337
"12",7.41,5485.33333333333
"13",3.78,1404.33333333333
"14",7.88,4401.33333333333
"15",3.78,1755.33333333333
"16",7.88,5076.33333333333
"17",3.78,1810.33333333333
"18",7.88,5082.33333333333
"19",4.25,2097.33333333333
"20",8.33,4856.33333333333
"21",4.25,2543.33333333333
"22",8.33,5405.33333333333
"23",4.25,2622.33333333333
"24",8.33,5384.33333333333
"25",4.8,2909.33333333333
"26",8.94,4456.33333333333
"27",4.8,3446.33333333333
"28",8.94,4813.33333333333
"29",4.8,3507.33333333333
"30",8.94,4987.33333333333
"31",5.36,3757.33333333333
"32",9.53,4838.33333333333
"33",5.36,4130.33333333333
"34",9.53,5222.33333333333
"35",5.36,4536.33333333333
"36",9.53,5390.33333333333
"37",5.75,4395.33333333333
"38",10.04,4325.33333333333
"39",5.75,5173.33333333333
"40",10.04,4728.33333333333
"41",5.75,5250.33333333333
"42",10.04,4975.33333333333
"43",6.35,4615.33333333333
"44",6.35,5296.33333333333
"45",6.35,5451.33333333333
