"","pH","Intensity"
"1",4.25,52976.6666666667
"2",2.83,57.6666666666666
"3",6.86,65431.6666666667
"4",2.83,54.6666666666666
"5",6.86,65138.6666666667
"6",4.8,60768.6666666667
"7",3.31,13617.6666666667
"8",7.41,75441.6666666667
"9",3.31,15271.6666666667
"10",7.41,75252.6666666667
"11",5.36,56873.6666666667
"12",3.78,42200.6666666667
"13",7.88,67842.6666666667
"14",3.78,43961.6666666667
"15",7.88,67973.6666666667
"16",5.75,59858.6666666667
"17",4.25,58601.6666666667
"18",8.33,74412.6666666667
"19",4.25,59733.6666666667
"20",8.33,75569.6666666667
"21",6.35,57017.6666666667
"22",4.8,69032.6666666667
"23",8.33,60545.6666666667
"24",4.8,70414.6666666667
"25",2.83,-112.333333333333
"26",6.86,64445.6666666667
"27",5.36,66697.6666666667
"28",5.36,67097.6666666667
"29",3.31,12933.6666666667
"30",7.41,61299.6666666667
"31",5.75,69746.6666666667
"32",5.75,70631.6666666667
"33",3.78,34345.6666666667
"34",7.88,63307.6666666667
"35",6.35,65776.6666666667
"36",6.35,66972.6666666667
